150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
165万,单价18334元/平米,可逸江畔 两房一厅 诚意出售,越秀可逸江畔 , | 2室1厅 | 90平米 | 南 | 精装,高楼层(共12层)板塔结合  -  ,80人关注 / 共0次带看 / 5个月以前发布,
288万,单价22137元/平米,华葆明苑 南向三房 低楼层,华葆明苑 , | 3室2厅 | 130.1平米 | 南 | 其他,低楼层(共7层)2000年建塔楼  -  ,7人关注 / 共0次带看 / 5个月以前发布,
450万,单价33988元/平米,康裕北苑 大3房 南向,康裕北苑 , | 3室2厅 | 132.4平米 | 南 | 其他 | 有电梯,中楼层(共8层)2005年建塔楼  -  ,6人关注 / 共0次带看 / 5个月以前发布,
170万,单价21066元/平米,珠殿苑 实用二房,珠殿苑东区 , | 2室2厅 | 80.7平米 | 南 | 其他 | 无电梯,高楼层(共7层)1996年建塔楼  -  ,17人关注 / 共0次带看 / 4个月以前发布,
200万,单价23810元/平米,侨基花园 电梯景观 配套成熟,侨基花园 , | 4室2厅 | 84平米 | 东南 | 精装 | 有电梯,中楼层(共32层)1998年建塔楼  -  ,98人关注 / 共0次带看 / 一年前发布,
350万,单价30304元/平米,丽江花园 华林居 装修保养好,丽江花园华林居 , | 2室2厅 | 115.5平米 | 东北 | 简装 | 无电梯,中楼层(共5层)1997年建塔楼  -  ,10人关注 / 共0次带看 / 8个月以前发布,
408万,单价28937元/平米,康裕园 电梯四房出售 户型方正,康裕园 , | 4室2厅 | 141平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1993年建塔楼  -  ,2人关注 / 共1次带看 / 4个月以前发布,
202万,单价23434元/平米,美心东苑 实用三房,美心东苑 , | 3室2厅 | 86.2平米 | 东南 | 简装 | 无电梯,高楼层(共7层)2004年建塔楼  -  ,35人关注 / 共0次带看 / 5个月以前发布,
278万,单价23761元/平米,汇景邮电宿舍 三房出售 户型方正,汇景邮电宿舍 , | 3室2厅 | 117平米 | 南 | 其他 | 无电梯,高楼层(共8层)2000年建塔楼  -  ,3人关注 / 共0次带看 / 4个月以前发布,
340万,单价33010元/平米,祈福新村康怡居 实用3房 出售,祈福新村康怡居 , | 3室2厅 | 103平米 | 北 | 简装 | 无电梯,低楼层(共6层)2002年建板楼  -  ,10人关注 / 共0次带看 / 6个月以前发布,
365万,单价30417元/平米,富华花园 3房2厅 365万元,富华花园 , | 3室2厅 | 120平米 | 东南 | 其他 | 有电梯,高楼层(共21层)1998年建塔楼  -  ,8人关注 / 共0次带看 / 8个月以前发布,
380万,单价40000元/平米,大学城 方圆大学时光 精装三房,方圆大学时光 , | 3室2厅 | 95平米 | 南 北 | 其他 | 无电梯,低楼层(共13层)塔楼  -  ,303人关注 / 共0次带看 / 一年前发布,
930万,单价56972元/平米,锦绣香江 丁香园联排别墅 带私家花园,锦绣香江花园丁香园 ,  | 独栋别墅 | 4室2厅 | 163.24平米 | 西南 | 其他 | 无电梯,1层2004年建暂无数据  -  ,15人关注 / 共0次带看 / 4个月以前发布,
318万,单价29720元/平米,东景园电梯中层大三房，业主诚意出售,东怡新区东景园 , | 3室2厅 | 107平米 | 西 | 简装 | 有电梯,中楼层(共9层)2000年建塔楼  -  ,30人关注 / 共9次带看 / 一年前发布,
375万,单价39063元/平米,星河湾 朗心园 大两房放卖 对流户型,广州星河湾朗心园 , | 2室2厅 | 96平米 | 南 北 | 精装 | 有电梯,低楼层(共9层)2001年建塔楼  -  ,56人关注 / 共8次带看 / 7个月以前发布,
240万,单价23392元/平米,鸿城花园 电梯三房 成熟配套,鸿城花园 , | 3室2厅 | 102.6平米 | 北 | 简装 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,64人关注 / 共7次带看 / 5个月以前发布,
265万,单价20417元/平米,银苑大厦(番禺) 3室2厅 265万,银苑大厦(番禺) , | 3室2厅 | 129.8平米 | 东南 | 其他 | 有电梯,高楼层(共9层)1999年建塔楼  -  ,28人关注 / 共0次带看 / 4个月以前发布,
140万,单价38148元/平米,奥园大厦 带电梯 一房一厅 140万,广州奥林匹克花园奥园大厦 , | 1室1厅 | 36.7平米 | 东北 | 其他 | 有电梯,中楼层(共21层)2002年建塔楼  -  ,24人关注 / 共7次带看 / 3个月以前发布,
780万,单价41367元/平米,与山为邻 南北对流 中高层 精装四房,广州雅居乐花园雅逸庭 , | 4室2厅 | 188.56平米 | 东南 | 其他 | 有电梯,中楼层(共19层)2010年建塔楼  -  ,5人关注 / 共0次带看 / 3个月以前发布,
215万,单价29546元/平米,媒体南村 电梯中高楼层 通风采光好,亚运城媒体南村 , | 2室2厅 | 72.77平米 | 北 | 简装,高楼层(共18层)塔楼  -  ,81人关注 / 共6次带看 / 3个月以前发布,
239万,单价23115元/平米,番禺华景新城 南向中层三房 户型方正 满五唯一免个税,番禺华景新城 , | 3室2厅 | 103.4平米 | 南 | 简装 | 无电梯,中楼层(共7层)1999年建塔楼  -  ,32人关注 / 共6次带看 / 3个月以前发布,
740万,单价36835元/平米,南国奥林匹克花园北奥一路 复式结构 5房大格局,南国奥林匹克花园 , | 5室2厅 | 200.9平米 | 南 | 其他 | 无电梯,低楼层(共6层)2006年建板楼  -  ,4人关注 / 共1次带看 / 3个月以前发布,
850万,单价50656元/平米,珠江花园 4室2厅 850万,珠江花园 , | 4室2厅 | 167.8平米 | 南 | 其他 | 有电梯,高楼层(共31层)2012年建塔楼  -  ,14人关注 / 共0次带看 / 2个月以前发布,
155万,单价15578元/平米,3房 中间楼层 不到1.6万一方,平康路 , | 3室2厅 | 99.5平米 | 南 | 简装,中楼层(共7层)塔楼  -  ,33人关注 / 共0次带看 / 2个月以前发布,
112.8万,单价28924元/平米,大石金城花园精装2房 小区安静居住好 南北对流,金城花园 , | 2室1厅 | 39平米 | 北 | 精装 | 无电梯,高楼层(共8层)1999年建塔楼  -  ,16人关注 / 共0次带看 / 1个月以前发布,
197万,单价15400元/平米,大西路 5室2厅 197万,大西路 , | 5室2厅 | 127.93平米 | 南 | 其他,高楼层(共6层)板楼  -  ,5人关注 / 共0次带看 / 1个月以前发布,
468万,单价42523元/平米,山水园110方 正三房 全南户型 小区安静舒适 看房方便,锦绣香江花园山水园 , | 3室2厅 | 110.06平米 | 西南 | 精装 | 有电梯,中楼层(共11层)2004年建塔楼  -  ,8人关注 / 共10次带看 / 30天以前发布,
205万,单价24493元/平米,侨基花园  电梯三房  配套完善,侨基花园 , | 3室2厅 | 83.7平米 | 东南 | 精装 | 有电梯,低楼层(共32层)1998年建塔楼  -  ,25人关注 / 共10次带看 / 30天以前发布,
190万,单价26955元/平米,锦绣生态园翠屏苑 2室1厅 190万,锦绣生态园翠屏苑 , | 2室1厅 | 70.49平米 | 东南 | 其他 | 无电梯,中楼层(共6层)2003年建塔楼  -  ,6人关注 / 共9次带看 / 27天以前发布,
129.5万,单价29102元/平米,温馨2房 带露台花园 证过5年唯一 户型方正 采光充足,祈福新村C区 , | 2室2厅 | 44.5平米 | 北 | 其他 | 无电梯,高楼层(共4层)1995年建板楼  -  ,46人关注 / 共10次带看 / 27天以前发布,
172万,单价21105元/平米,江南新村 3室1厅 172万,江南新村 , | 3室1厅 | 81.5平米 | 南 | 其他 | 无电梯,低楼层(共8层)1998年建塔楼  -  ,9人关注 / 共7次带看 / 22天以前发布,
215万,单价29453元/平米,亚运城媒体北村 2室2厅 215万,亚运城媒体北村 , | 2室2厅 | 73平米 | 北 | 其他,低楼层(共15层)塔楼  -  ,6人关注 / 共9次带看 / 21天以前发布,
190万,单价28701元/平米,丽江花园新装两房 一字厅  楼层朝向好  看房方便,丽江花园丽茵楼 , | 2室1厅 | 66.2平米 | 南 | 其他 | 有电梯,高楼层(共9层)1993年建塔楼  -  ,34人关注 / 共9次带看 / 20天以前发布,
155万,单价27928元/平米,番禺广场 广华苑刚需小户型 住家装修 房子采光很好!,广华苑 , | 2室2厅 | 55.5平米 | 南 | 简装,高楼层(共6层)1998年建塔楼  -  ,33人关注 / 共8次带看 / 16天以前发布,
320万,单价29521元/平米,金海岸花园一期 大三房,金海岸花园金石碧苑 , | 3室2厅 | 108.4平米 | 南 | 精装 | 无电梯,低楼层(共6层)2002年建塔楼  -  ,2人关注 / 共0次带看 / 4个月以前发布,
350万,单价39326元/平米,锦绣香江紫荆园 景观美 户型实用,锦绣香江花园紫荆园 , | 2室2厅 | 89平米 | 南 | 精装 | 有电梯,中楼层(共11层)2004年建塔楼  -  ,24人关注 / 共1次带看 / 4个月以前发布,
368万,单价39233元/平米,金山谷领仕 精装三房 装修保养好,金山谷四期 , | 3室2厅 | 93.8平米 | 南 | 精装 | 有电梯,低楼层(共25层)2013年建塔楼  -  ,8人关注 / 共0次带看 / 4个月以前发布,
212万,单价37193元/平米,香缤豪庭 电梯高层 精致装修2房,香缤豪庭 , | 2室2厅 | 57平米 | 南 | 精装 | 有电梯,低楼层(共24层)2011年建塔楼  -  ,2人关注 / 共1次带看 / 一年前发布,
185万,单价24723元/平米,小区新 框架结构 带泳池 两房方正 双阳台,宝翠苑 , | 2室2厅 | 74.83平米 | 东 | 简装 | 有电梯,高楼层(共6层)2002年建板楼  -  ,85人关注 / 共0次带看 / 4个月以前发布,
480万,单价37326元/平米,丽江花园左岸 3室2厅 480万,丽江花园左岸 , | 3室2厅 | 128.6平米 | 东北 | 精装 | 有电梯,高楼层(共18层)2003年建塔楼  -  ,10人关注 / 共1次带看 / 4个月以前发布,
310万,单价28182元/平米,康泰花园  三房出售  户型方正 采光好,康泰花园(番禺区) , | 3室2厅 | 110平米 | 南 | 精装,中楼层(共7层)1999年建塔楼  -  ,4人关注 / 共1次带看 / 4个月以前发布,
310万,单价29128元/平米,祈福新村翠湖居 方正三房套房  视野开阔 交通便利,祈福新村翠湖居 , | 3室2厅 | 106.43平米 | 北 | 简装 | 无电梯,高楼层(共6层)1995年建板楼  -  ,4人关注 / 共1次带看 / 4个月以前发布,
228万,单价26328元/平米,康泰花园(番禺区) 2室2厅 228万,康泰花园(番禺区) , | 2室2厅 | 86.6平米 | 南 北 | 精装 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,9人关注 / 共1次带看 / 4个月以前发布,
192万,单价25859元/平米,长江数码花园(番禺) 3室2厅 192万,长江数码花园(番禺) , | 3室2厅 | 74.25平米 | 南 西南 | 简装 | 无电梯,低楼层(共6层)2000年建塔楼  -  ,28人关注 / 共1次带看 / 3个月以前发布,
150万,单价19974元/平米,大石侨苑 小区管理 户型方正 南北对流 精致两房,富丽家园侨苑 , | 2室1厅 | 75.1平米 | 南 | 简装 | 无电梯,高楼层(共7层)1995年建塔楼  -  ,21人关注 / 共2次带看 / 3个月以前发布,
360万,单价37500元/平米,芳华花园洛涛居  舒适3房 带花园,芳华花园洛涛居 , | 3室2厅 | 96平米 | 东 | 精装 | 无电梯,低楼层(共6层)1999年建塔楼  -  ,5人关注 / 共1次带看 / 3个月以前发布,
201万,单价26309元/平米,开阳阁 电梯两房 户型方正 少有放盘,东发大厦 , | 2室2厅 | 76.4平米 | 东南 | 简装,中楼层(共33层)1995年建塔楼  -  ,14人关注 / 共1次带看 / 3个月以前发布,
240万,单价27273元/平米,丽江花园丽波楼 3室2厅 240万,丽江花园丽波楼 , | 3室2厅 | 88平米 | 东北 | 其他 | 有电梯,高楼层(共9层)1993年建塔楼  -  ,25人关注 / 共2次带看 / 3个月以前发布,
190万,单价25402元/平米,洛溪长大公司 2室1厅 190万,洛溪长大公司 , | 2室1厅 | 74.8平米 | 南 | 精装 | 无电梯,低楼层(共6层)1998年建塔楼  -  ,65人关注 / 共0次带看 / 3个月以前发布,
300万,单价30470元/平米,带电梯大三房 交通便利 安静舒适,今日丽舍 , | 3室2厅 | 98.46平米 | 西南 | 简装 | 有电梯,高楼层(共23层)2004年建塔楼  -  ,29人关注 / 共1次带看 / 3个月以前发布,
215万,单价23416元/平米,新世纪花园 精装三房 南北对流,新世纪花园 , | 3室2厅 | 91.82平米 | 南 | 精装 | 无电梯,高楼层(共5层)2001年建板楼  -  ,13人关注 / 共1次带看 / 3个月以前发布,
210万,单价36843元/平米,香缤豪庭 电梯精装两房 南向 户型方正,香缤豪庭 , | 2室2厅 | 57平米 | 南 | 精装 | 有电梯,中楼层(共24层)2011年建塔楼  -  ,3人关注 / 共1次带看 / 3个月以前发布,
178万,单价25649元/平米,如意花园，精装修、南北对流、彩光好,如意花园 , | 2室1厅 | 69.4平米 | 南 | 其他 | 无电梯,高楼层(共7层)1993年建塔楼  -  ,50人关注 / 共1次带看 / 3个月以前发布,
240万,单价26259元/平米,番禺华景新城精装三房 小区中间位置 中层采光不错,番禺华景新城 , | 3室2厅 | 91.4平米 | 北 | 简装 | 无电梯,中楼层(共7层)1999年建塔楼  -  ,2人关注 / 共1次带看 / 3个月以前发布,
145万,单价21789元/平米,市桥南福景园 小区升级改造精装大两房,福景园 , | 2室1厅 | 66.55平米 | 南 | 精装,中楼层(共8层)2008年建塔楼  -  ,36人关注 / 共2次带看 / 3个月以前发布,
220万,单价31931元/平米,祈福新村青怡居 一楼带花园 格局方正 环境优美,祈福新村青怡居 , | 2室2厅 | 68.9平米 | 南 | 简装 | 无电梯,低楼层(共5层)1995年建板楼  -  ,18人关注 / 共10次带看 / 3个月以前发布,
305万,单价33517元/平米,芳华花园洛涛居 3室2厅 305万,芳华花园洛涛居 , | 3室2厅 | 91平米 | 西南 | 简装 | 无电梯,高楼层(共6层)1999年建塔楼  -  ,9人关注 / 共2次带看 / 3个月以前发布,
210万,单价30190元/平米,珠江花园 2室2厅 210万,珠江花园 , | 2室2厅 | 69.56平米 | 东南 | 其他 | 有电梯,中楼层(共28层)1992年建塔楼  -  ,8人关注 / 共3次带看 / 3个月以前发布,
215万,单价32576元/平米,洛涛居舒适两房                     装修保养好,芳华花园洛涛居 , | 2室1厅 | 66平米 | 西北 | 简装,中楼层(共6层)塔楼  -  ,9人关注 / 共1次带看 / 2个月以前发布,
145万,单价19945元/平米,荷景花园 雅荷居精装 南向俩房户型方正,荷景花园雅荷居 , | 2室2厅 | 72.7平米 | 南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,35人关注 / 共0次带看 / 2个月以前发布,
430万,单价33027元/平米,金海岸花园皇玛 4室2厅 430万,金海岸花园皇玛 , | 4室2厅 | 130.2平米 | 北 | 精装 | 有电梯,低楼层(共9层)2002年建塔楼  -  ,4人关注 / 共1次带看 / 2个月以前发布,
285万,单价38405元/平米,祈福新村海晴居 一楼带花园 格局方正实用,祈福新村海晴居 , | 3室2厅 | 74.21平米 | 北 | 精装 | 无电梯,低楼层(共6层)2003年建板楼  -  ,11人关注 / 共1次带看 / 2个月以前发布,
260万,单价28572元/平米,户型方正，采光充足，交通方便.,富丽家园富丽广场 , | 3室2厅 | 91平米 | 南 | 简装 | 无电梯,低楼层(共6层)1995年建塔楼  -  ,1人关注 / 共3次带看 / 2个月以前发布,
265万,单价26448元/平米,满五唯一   南向户型   中楼层 通风良好 小区环境优美,亚运城运动员村三区 , | 2室2厅 | 100.2平米 | 南 | 简装,高楼层(共14层)塔楼  -  ,14人关注 / 共3次带看 / 2个月以前发布,
330万,单价32928元/平米,祈福新村倚湖湾 高层视野开阔 望祈福全景 通风采光好,祈福新村倚湖湾 , | 3室2厅 | 100.22平米 | 北 | 精装 | 有电梯,高楼层(共33层)2006年建塔楼  -  ,5人关注 / 共2次带看 / 2个月以前发布,
170万,单价24782元/平米,珠殿苑南区 2室1厅 170万,珠殿苑南区 , | 2室1厅 | 68.6平米 | 南 | 精装 | 无电梯,中楼层(共7层)1996年建塔楼  -  ,5人关注 / 共2次带看 / 2个月以前发布,
235万,单价25324元/平米,锦绣生态园菁华轩 3室2厅 235万,锦绣生态园菁华轩 , | 3室2厅 | 92.8平米 | 南 | 简装 | 无电梯,高楼层(共6层)2003年建塔楼  -  ,11人关注 / 共1次带看 / 2个月以前发布,
215万,单价22396元/平米,江南新村  3室2厅  户型方正,江南新村 , | 3室2厅 | 96平米 | 南 | 精装 | 无电梯,中楼层(共7层)1998年建塔楼  -  ,9人关注 / 共1次带看 / 2个月以前发布,
218万,单价25203元/平米,朗陶居三室两厅，格局方正采光好，闹中取静位置佳,朗陶居 , | 3室2厅 | 86.5平米 | 北 | 精装 | 无电梯,中楼层(共6层)2001年建塔楼  -  ,0人关注 / 共1次带看 / 2个月以前发布,
225万,单价33285元/平米,蝶舞 南向两房新装修 拎包入住,祈福新村蝶舞轩 , | 2室2厅 | 67.6平米 | 南 | 精装 | 无电梯,高楼层(共6层)2002年建塔楼  -  ,5人关注 / 共3次带看 / 2个月以前发布,
200万,单价17109元/平米,禺秀园 3室2厅 200万,禺秀园 , | 3室2厅 | 116.9平米 | 南 | 精装 | 无电梯,高楼层(共7层)塔楼  -  ,23人关注 / 共0次带看 / 2个月以前发布,
368万,单价36617元/平米,广州奥林匹克花园 复式四房 南向采光好,广州奥林匹克花园 , | 4室2厅 | 100.5平米 | 南 | 简装 | 无电梯,高楼层(共6层)2002年建板楼  -  ,3人关注 / 共1次带看 / 2个月以前发布,
345万,单价35908元/平米,广州雅居乐花园浅山小筑 2室2厅 345万,广州雅居乐花园浅山小筑 , | 2室2厅 | 96.08平米 | 南 | 精装 | 有电梯,中楼层(共11层)2010年建塔楼  -  ,3人关注 / 共2次带看 / 2个月以前发布,
480万,单价36295元/平米,单证物业 过五唯一 实用精装三房,锦绣银湾 , | 3室2厅 | 132.25平米 | 北 | 精装 | 有电梯,低楼层(共25层)2007年建板楼  -  ,1人关注 / 共3次带看 / 2个月以前发布,
